LTR,Date,expNo1,expNo2,Min,Sec,EStmInt,EStmDrtn,Supra,MSEstm,stmDrtn,MSEStmHz,MSEstmInt,AD,RS,WDS,ADDrtn,HPCDrtn,CtxDrtn,recAD,recGS,MI,Thresholded
80,180305,1,3,NaN,NaN,50,2,0,0,1,20,400,NaN,0,0,0,0,0,NaN,NaN,1,1
80,180305,1,3,NaN,NaN,50,2,0,1,1,20,400,NaN,5,4,23,83,60,NaN,NaN,1,1
80,180305,1,4,NaN,NaN,50,2,0,0,1,20,400,NaN,0,0,0,0,0,NaN,NaN,1,1
80,180305,1,4,NaN,NaN,50,2,0,1,1,20,400,NaN,5,0,9,75,63,NaN,NaN,1,1
80,180305,1,5,NaN,NaN,50,2,0,0,1,20,400,NaN,0,3,0,0,0,NaN,NaN,1,1
80,180305,1,5,NaN,NaN,50,2,0,1,1,20,400,NaN,5,0,19,79,51,NaN,NaN,1,1
81,180307,1,3,NaN,NaN,100,2,0,0,1,20,400,NaN,5,0,13,55,19,NaN,NaN,-0.134020618556701,0
81,180307,1,3,NaN,NaN,100,2,0,1,1,20,400,NaN,5,0,13,42,19,NaN,NaN,-0.134020618556701,0
81,180307,1,4,NaN,NaN,50,2,0,0,1,20,400,NaN,0,0,0,0,0,NaN,NaN,1,1
81,180307,1,4,NaN,NaN,50,2,0,1,1,20,400,NaN,5,0,19,66,21,NaN,NaN,1,1
81,180307,1,5,NaN,NaN,25,2,0,1,1,20,400,NaN,5,0,2,63,31,NaN,NaN,1,1
81,180307,1,5,NaN,NaN,25,2,0,0,1,20,400,NaN,0,0,0,0,0,NaN,NaN,1,1
81,180308,1,2,NaN,NaN,25,2,0,0,1,1,400,NaN,0,0,0,0,0,NaN,NaN,1,1
81,180308,1,2,NaN,NaN,25,2,0,1,1,1,400,NaN,5,1,13,50,22,NaN,NaN,1,1
81,180308,1,3,NaN,NaN,13,2,0,0,1,1,400,NaN,0,0,0,0,0,NaN,NaN,0,0
81,180308,1,3,NaN,NaN,13,2,0,1,1,1,400,NaN,0,0,0,0,0,NaN,NaN,0,0
81,180308,1,3,NaN,NaN,25,2,0,0,1,1,400,NaN,0,0,0,0,0,NaN,NaN,0,0
81,180308,1,3,NaN,NaN,25,2,0,1,1,1,400,NaN,0,0,0,0,0,NaN,NaN,0,0
81,180308,1,3,NaN,NaN,25,2,0,0,1,1,400,NaN,0,0,0,0,0,NaN,NaN,0,0
81,180308,1,3,NaN,NaN,25,2,0,1,1,1,400,NaN,0,0,0,0,0,NaN,NaN,0,0
81,180308,1,3,NaN,NaN,38,2,0,1,1,1,400,NaN,0,0,0,0,0,NaN,NaN,0,0
81,180308,1,3,NaN,NaN,38,2,0,0,1,1,400,NaN,0,0,0,0,0,NaN,NaN,0,0
81,180308,1,3,NaN,NaN,50,2,0,0,1,1,400,NaN,0,0,0,0,0,NaN,NaN,0,0
81,180308,1,3,NaN,NaN,50,2,0,1,1,1,400,NaN,0,0,0,0,0,NaN,NaN,0,0
80,180606,1,3,NaN,NaN,50,2,0,0,1,1,400,NaN,5,0,11,47,26,NaN,NaN,0.168141592920354,0
80,180606,1,3,NaN,NaN,50,2,0,1,1,1,400,NaN,5,0,11,66,28,NaN,NaN,0.168141592920354,0
80,180606,1,4,NaN,NaN,50,2,0,0,1,1,400,NaN,5,0,7,77,34,NaN,NaN,-1,0
80,180606,1,4,NaN,NaN,50,2,0,1,1,1,400,NaN,0,0,0,0,0,NaN,NaN,-1,0
